Mech',Matches Played,Wins,Losses,Ratio,Kills,Deaths,Ratio.1,Damage Done
TIMBER WOLF TBR-C(C),49,13,34,0.38,28,38,0.74,"15,581"
ANNIHILATOR ANH-2A,49,28,21,1.33,21,41,0.51,"18,548"
CHARGER CGR-1A5,48,31,16,1.94,20,30,0.67,"9,205"
SNOWBALL,48,18,30,0.6,19,34,0.56,"11,112"
SPIDER SDR-5V,47,22,23,0.96,13,34,0.38,"7,972"
HIGHLANDER HGN-733C(C),43,18,24,0.75,7,37,0.19,"6,822"
TEMPEST,42,14,28,0.5,35,32,1.09,"11,569"
ATLAS AS7-K3,42,24,16,1.5,19,37,0.51,"12,142"
CATAPHRACT CTF-4X,41,19,22,0.86,30,31,0.97,"16,437"
SHADOW HAWK SHD-2K,40,22,17,1.29,18,31,0.58,"11,975"
CRAEL,38,21,17,1.24,43,31,1.39,"16,398"
ENFORCER ENF-4R(C),38,16,20,0.8,15,30,0.5,"6,068"
MARAUDER II MAD-4HP,38,21,16,1.31,26,26,1.0,"15,525"
ATLAS AS7-D,34,14,20,0.7,19,28,0.68,"11,772"
PANTHER PNT-10K(C),34,10,24,0.42,7,28,0.25,"3,909"
ORION ON1-VA,33,19,14,1.36,25,28,0.89,"8,784"
SHADOW HAWK SHD-2H,32,9,23,0.39,8,28,0.29,"10,734"
VIPER VPR-F,32,15,16,0.94,16,23,0.7,"9,909"
CHARGER CGR-1A1,32,21,10,2.1,20,15,1.33,"6,623"
NOVA NVA-S(C),31,12,18,0.67,7,21,0.33,"6,206"
DERVISH DV-7D,30,23,7,3.29,14,21,0.67,"6,746"
EMBER,30,18,12,1.5,27,17,1.59,"9,547"
BOLT,29,16,12,1.33,20,24,0.83,"9,658"
CYCLOPS CP-10-Q,28,12,13,0.92,19,26,0.73,"10,001"
PHOENIX HAWK PXH-2(C),25,8,17,0.47,6,21,0.29,"3,678"
FIREBALL,23,12,11,1.09,16,15,1.07,"6,506"
NIGHT GYR NTG-D(CS),22,12,10,1.2,8,17,0.47,"6,776"
BLACK KNIGHT BL-7-KNT,21,9,10,0.9,10,17,0.59,"6,207"
BELIAL,20,9,11,0.82,7,17,0.41,"7,316"
ARCTIC CHEETAH ACH-E,20,8,12,0.67,3,14,0.21,"4,644"
JENNER IIC JR7-IIC-2,20,11,9,1.22,11,15,0.73,"6,553"
URBANMECH UM-R80,19,7,12,0.58,8,8,1.0,"4,343"
URBANMECH UM-R80(L),18,11,6,1.83,3,10,0.3,"1,911"
INVICTUS,16,7,8,0.88,6,13,0.46,"5,195"
HELLSPAWN HSN-8P,16,7,8,0.88,9,12,0.75,"4,549"
EXECUTIONER EXE-A,16,7,9,0.78,5,9,0.56,"5,145"
CATAPULT CPLT-A1(C),15,4,11,0.36,1,14,0.07,"3,290"
SPIDER SDR-5D(P),14,10,4,2.5,15,6,2.5,"6,389"
HUGINN,14,6,8,0.75,9,12,0.75,"3,361"
CATAPULT CPLT-A1,13,6,7,0.86,11,6,1.83,"4,080"
EBON DRAGOON,13,10,3,3.33,10,5,2.0,"4,301"
JAGERMECH JM6-A(C),13,4,9,0.44,4,12,0.33,"2,153"
EBON JAGUAR EBJ-B,13,5,7,0.71,5,9,0.56,"3,216"
CRAB CRB-27B,13,7,6,1.17,8,9,0.89,"2,649"
SPIDER SDR-5K(C),12,3,9,0.33,4,10,0.4,"1,953"
CRUSADER CRD-6T,12,6,6,1.0,10,8,1.25,"3,790"
MARAUDER IIC MAD-IIC-A,12,5,7,0.71,3,10,0.3,"2,495"
UZIEL UZL-6P,12,7,5,1.4,8,10,0.8,"4,107"
LOCUST LCT-3S,11,6,4,1.5,1,9,0.11,550
FIRESTARTER FS9-A,11,5,6,0.83,7,6,1.17,"2,788"
UZIEL UZL-3P(C),10,4,6,0.67,2,8,0.25,"1,571"
GRID IRON,10,3,7,0.43,6,7,0.86,"3,182"
STALKER STK-4N,9,7,2,3.5,4,5,0.8,"2,599"
MAULER MAL-2P(S),9,2,7,0.29,5,8,0.63,"2,310"
WARHAWK WHK-C(C),9,7,2,3.5,7,4,1.75,"2,490"
CRUSADER CRD-6T(P),9,3,6,0.5,9,5,1.8,"2,477"
JENNER IIC JR7-IIC,8,4,4,1.0,3,7,0.43,"1,668"
KODIAK KDK-3(C),8,2,6,0.33,3,6,0.5,"1,155"
PHOENIX HAWK PXH-1B,8,2,6,0.33,4,7,0.57,"1,612"
BATTLEMASTER BLR-2C(C),7,3,4,0.75,2,6,0.33,"1,620"
SHADOW CAT SHC-PRIME(C),6,3,3,1.0,0,5,0.0,"1,844"
ORION IIC ON1-IIC-C,5,4,1,4.0,5,5,1.0,"2,573"
THE BOAR'S HEAD,5,3,2,1.5,6,3,2.0,"2,554"
JENNER IIC JR7-IIC(C),4,2,2,1.0,4,4,1.0,"1,137"
URBANMECH UM-R60L,4,2,2,1.0,2,2,1.0,925
JAVELIN JVN-11A,4,3,1,3.0,0,1,0.0,833
WARHAMMER WHM-6D,4,4,0,4.0,3,3,1.0,"1,062"
SUN SPIDER SNS-D,4,2,2,1.0,5,3,1.67,"2,092"
BLACKJACK BJ-2(L),4,3,1,3.0,2,2,1.0,910
URBANMECH UM-R68,3,1,2,0.5,0,3,0.0,688
RAVEN RVN-3L,3,1,2,0.5,0,2,0.0,354
NOVA CAT NCT-PRIME,3,1,2,0.5,1,2,0.5,"1,206"
ARCTIC WOLF ACW-1,2,1,1,1.0,1,1,1.0,516
ARCTIC CHEETAH ACH-PRIME(C),2,1,1,1.0,2,1,2.0,467
SHADOW CAT SHC-P,2,1,1,1.0,0,2,0.0,654
CRUSADER CRD-5K,2,1,1,1.0,1,1,1.0,844
EBON JAGUAR EBJ-PRIME(C),2,1,1,1.0,1,1,1.0,361
MIST LYNX MLX-PRIME(C),2,1,1,1.0,3,1,3.0,719
MARAUDER MAD-3R,2,2,0,2.0,0,2,0.0,182
LINEBACKER LBK-H(C),2,0,2,0.0,1,2,0.5,614
CRAB CRB-27B(C),1,0,1,0.0,1,1,1.0,466
CRUSADER CRD-3R,1,0,1,0.0,0,1,0.0,213
STORMCROW SCR-PRIME(C),1,1,0,1.0,1,0,1.0,664
DIRE WOLF DWF-A,1,1,0,1.0,1,1,1.0,306
FIRESTARTER FS9-S(C),1,0,1,0.0,0,1,0.0,133
HUNCHBACK HBK-4P,1,1,0,1.0,1,0,1.0,159
INCUBUS INC-5(C),1,0,1,0.0,0,1,0.0,220
JAVELIN JVN-10P,1,0,1,0.0,0,1,0.0,145
REDLINE,1,1,0,1.0,0,0,0.0,0
KIT FOX KFX-P,1,1,0,1.0,0,0,0.0,128
