Mech',Matches Played,Wins,Losses,Ratio,Kills,Deaths,Ratio.1,Damage Done,XP Earned,Time Played
RIFLEMAN IIC RFL-IIC-2,52,19,32,0.59,31,45,0.69,"17,202","48,490",04:58:05
PHOENIX HAWK PXH-2(C),25,8,17,0.47,6,21,0.29,"3,678",0,04:55:19
SNOWBALL,48,18,30,0.6,19,34,0.56,"11,112","52,300",04:54:52
CHARGER CGR-1A1,32,21,10,2.1,20,15,1.33,"6,623","42,500",04:42:40
CATAPHRACT CTF-4X,41,19,22,0.86,30,31,0.97,"16,437","59,897",04:40:53
ANNIHILATOR ANH-2A,48,27,21,1.29,21,41,0.51,"18,313","64,999",04:31:24
ATLAS AS7-D,34,14,20,0.7,19,28,0.68,"11,772","41,681",04:03:18
PANTHER PNT-10K(C),34,10,24,0.42,7,28,0.25,"3,909",0,03:59:15
SHADOW HAWK SHD-2K,40,22,17,1.29,18,31,0.58,"11,975","52,901",03:44:57
CRAEL,38,21,17,1.24,43,31,1.39,"16,398","72,600",03:32:52
CYCLOPS CP-10-Q,28,12,13,0.92,19,26,0.73,"10,001","32,654",03:32:41
NOVA NVA-S(C),31,12,18,0.67,7,21,0.33,"6,206","51,927",03:24:24
EMBER,30,18,12,1.5,27,17,1.59,"9,547","95,663",03:15:18
BOLT,29,16,12,1.33,20,24,0.83,"9,658","37,328",03:02:44
VIPER VPR-F,32,15,16,0.94,16,23,0.7,"9,909","58,162",03:01:57
SHADOW HAWK SHD-2H,32,9,23,0.39,8,28,0.29,"10,734","31,669",02:57:22
DERVISH DV-7D,30,23,7,3.29,14,21,0.67,"6,746","55,963",02:38:03
URBANMECH UM-R80(L),18,11,6,1.83,3,10,0.3,"1,911","22,048",02:31:54
FIREBALL,23,12,11,1.09,16,15,1.07,"6,506","51,027",02:24:39
ARCTIC CHEETAH ACH-E,20,8,12,0.67,3,14,0.21,"4,644","17,997",02:19:47
BLACK KNIGHT BL-7-KNT,21,9,10,0.9,10,17,0.59,"6,207","23,017",02:10:40
NIGHT GYR NTG-D(CS),22,12,10,1.2,8,17,0.47,"6,776","29,303",02:04:37
BELIAL,20,9,11,0.82,7,17,0.41,"7,316","27,649",01:56:06
INVICTUS,16,7,8,0.88,6,13,0.46,"5,195","31,050",01:52:46
CATAPULT CPLT-A1(C),15,4,11,0.36,1,14,0.07,"3,290",0,01:51:08
JENNER IIC JR7-IIC-2,20,11,9,1.22,11,15,0.73,"6,553","28,520",01:51:03
EXECUTIONER EXE-A,16,7,9,0.78,5,9,0.56,"5,145","25,321",01:34:11
HELLSPAWN HSN-8P,15,7,7,1.0,9,11,0.82,"4,409","18,447",01:31:46
UZIEL UZL-6P,12,7,5,1.4,8,10,0.8,"4,107","19,990",01:31:16
JAGERMECH JM6-A(C),13,4,9,0.44,4,12,0.33,"2,153",0,01:29:41
EBON DRAGOON,13,10,3,3.33,10,5,2.0,"4,301","23,028",01:28:33
WARHAWK WHK-C(C),9,7,2,3.5,7,4,1.75,"2,490",0,01:20:30
SPIDER SDR-5D(P),11,8,3,2.67,14,5,2.8,"5,394","21,724",01:19:34
CRAB CRB-27B,13,7,6,1.17,8,9,0.89,"2,649","14,955",01:14:01
MARAUDER IIC MAD-IIC-A,12,5,7,0.71,3,10,0.3,"2,495","12,003",01:08:40
EBON JAGUAR EBJ-B,13,5,7,0.71,5,9,0.56,"3,216","17,994",01:07:47
HUGINN,14,6,8,0.75,9,12,0.75,"3,361","10,899",01:06:50
SPIDER SDR-5K(C),12,3,9,0.33,4,10,0.4,"1,953",0,01:05:54
FIRESTARTER FS9-A,11,5,6,0.83,7,6,1.17,"2,788","13,552",01:03:19
STALKER STK-4N,9,7,2,3.5,4,5,0.8,"2,599","18,734",00:58:57
PHOENIX HAWK PXH-1B,8,2,6,0.33,4,7,0.57,"1,612","9,421",00:58:31
GRID IRON,9,3,6,0.5,6,6,1.0,"3,039","8,048",00:53:07
MAULER MAL-2P(S),9,2,7,0.29,5,8,0.63,"2,310","9,342",00:53:05
JENNER IIC JR7-IIC,8,4,4,1.0,3,7,0.43,"1,668","5,740",00:48:09
KODIAK KDK-3(C),8,2,6,0.33,3,6,0.5,"1,155",0,00:47:48
SHADOW CAT SHC-PRIME(C),6,3,3,1.0,0,5,0.0,"1,844",0,00:47:04
LOCUST LCT-3S,11,6,4,1.5,1,9,0.11,550,"11,781",00:46:02
BATTLEMASTER BLR-2C(C),7,3,4,0.75,2,6,0.33,"1,620",0,00:45:28
THE BOAR'S HEAD,5,3,2,1.5,6,3,2.0,"2,554","6,772",00:31:39
CATAPULT CPLT-A1,13,6,7,0.86,11,6,1.83,"4,080","32,692",00:29:43
JAVELIN JVN-11A,4,3,1,3.0,0,1,0.0,833,"7,532",00:27:07
SUN SPIDER SNS-D,4,2,2,1.0,5,3,1.67,"2,092","10,560",00:26:53
NOVA CAT NCT-PRIME,3,1,2,0.5,1,2,0.5,"1,206","3,870",00:26:41
BLACKJACK BJ-2(L),4,3,1,3.0,2,2,1.0,910,"8,425",00:26:02
WARHAMMER WHM-6D,4,4,0,4.0,3,3,1.0,"1,062","9,367",00:25:42
URBANMECH UM-R60L,4,2,2,1.0,2,2,1.0,925,"6,100",00:25:25
UZIEL UZL-3P(C),10,4,6,0.67,2,8,0.25,"1,571",0,00:23:31
ORION IIC ON1-IIC-C,5,4,1,4.0,5,5,1.0,"2,573","11,168",00:21:54
